problemID,problemRating,tags
579A,1085,[bitmasks]
321C,2089,"[constructive algorithms, dfs and similar, divide and conquer, greedy, trees]"
557E,2620,"[data structures, dp, string suffix structures, strings, trees]"
289E,1997,"[data structures, greedy, implementation, math]"
610E,2640,"[data structures, strings]"
348B,2157,"[dfs and similar, number theory, trees]"
610A,1055,"[combinatorics, math]"
633B,1383,"[brute force, constructive algorithms, math, number theory]"
679D,2957,"[brute force, dfs and similar, implementation]"
177D1,1267,[brute force]
454D,2205,"[bitmasks, dp]"
145C,2152,"[combinatorics, dp, math]"
341B,1549,"[binary search, data structures, dp]"
40E,2329,[combinatorics]
117D,2560,"[divide and conquer, math]"
677B,1467,"[implementation, math]"
199D,1854,"[dfs and similar, shortest paths]"
364B,2174,"[dp, greedy]"
534C,1636,[math]
252A,1238,"[brute force, implementation]"
285B,1228,[implementation]
295B,1645,"[dp, graphs, shortest paths]"
276B,1380,"[games, greedy]"
419D,2008,[]
627F,5000,"[dfs and similar, graphs, trees]"
214E,2167,[dp]
82A,1118,"[implementation, math]"
434C,2560,[dp]
716C,1650,"[constructive algorithms, math, number theory]"
116E,2353,[]
277B,2255,"[constructive algorithms, geometry]"
489B,1321,"[dfs and similar, dp, graph matchings, greedy, sortings, two pointers]"
545D,1395,"[greedy, implementation, sortings]"
5E,2070,[data structures]
668D,2078,[data structures]
448B,1473,"[implementation, strings]"
456D,2220,"[dp, games, strings]"
701F,5000,[graphs]
508A,1234,[brute force]
57A,1421,"[dfs and similar, greedy, implementation]"
56D,2014,[dp]
124D,2020,"[brute force, constructive algorithms, number theory]"
121D,2454,"[binary search, implementation, two pointers]"
696A,1646,"[data structures, implementation, trees]"
414B,1338,"[combinatorics, dp]"
261A,1345,"[greedy, sortings]"
363D,1807,"[binary search, greedy]"
161A,1387,"[binary search, brute force, greedy, two pointers]"
274D,2214,"[dfs and similar, graphs, greedy, sortings]"
148B,1557,"[implementation, math]"
222A,1300,"[brute force, implementation]"
180B,2350,"[math, number theory]"
135B,1677,"[brute force, geometry, math]"
662E,3324,"[brute force, dp, greedy]"
680E,2500,[]
342A,1338,"[greedy, implementation]"
